timestamp,mood,description
1760717044.6912296,fear,Camera me 2 person dikh rahe hain. Mood: fear
1760717044.8227472,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717044.932597,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.0503216,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.1388454,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.2778146,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.391245,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.4787042,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.5752685,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.6739008,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.7772105,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.8736718,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717045.9627616,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.057538,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.1474175,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.2861469,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.3830092,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.4745827,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.5729802,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.664479,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.758667,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.8566787,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717046.9461858,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.0438724,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.135919,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.2782228,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.3791437,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.4629865,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.5635514,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.6703641,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.763285,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.8581207,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717047.9466996,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.0427399,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.1375046,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.2764425,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.3755298,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.4926956,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.579356,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.6777985,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.7926872,sad,Camera me 2 person dikh rahe hain. Mood: sad
1760717048.893401,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717048.9953787,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
1760717049.07832,neutral,Camera me 1 person dikh rahe hain. Mood: neutral
